gvkey,conm,cusip,cik,LINKPRIM,LIID,LINKTYPE,LPERMNO,LPERMCO,LINKDT,LINKENDDT
001061,ARI INDUSTRIES INC,002048106,0000007202,P,01,LU,10445,340,19790131,19801031
001061,ARI INDUSTRIES INC,002048106,0000007202,C,00X,LU,10445,340,19730401,19790130
001062,ASA GOLD AND PRECIOUS METALS,G3156P103,0001230869,P,01,LU,26649,20015,19650129,E
001065,AT&E CORP,002062107,0000008076,C,01,LU,71239,5894,19830404,19910719
001066,ATE ENTERPRISES INC,002068104,0000042211,C,01,LC,55335,1911,19840131,19861204
001067,ATI INC,00299M937,0000929245,P,01,LC,28652,23559,19660131,19841227
001067,ATI INC,00299M937,0000929245,C,00X,LC,28652,23559,19620702,19660130
001069,ATV SYSTEMS INC,002095107,0000724768,C,01,LU,10480,6509,19831018,19841016
001070,AVC CORP,002280105,0000008789,C,00X,LC,21549,23079,19680101,19680130
001070,AVC CORP,002280105,0000008789,P,01,LC,21549,23079,19680131,19810430
001072,AVX CORP,002444107,0000859163,C,01,LC,56899,25544,19730330,19900118
001072,AVX CORP,002444107,0000859163,C,01,LC,81912,30930,19950815,E
001073,AW COMPUTER SYSTEMS  -CL A,002448108,0000319037,C,01,LU,10496,422,19810309,19960828
001074,AZL RESOURCES INC,002455103,0000007237,P,01,LU,49648,25078,19691204,19821231
001075,PINNACLE WEST CAPITAL CORP,723484101,0000764622,P,01,LU,27991,21409,19620131,E
001076,AARON'S INC,002535300,0000706688,P,02,LC,78049,5674,19930101,20101130
001076,AARON'S INC,002535300,0000706688,J,02,LC,78049,5674,20101201,20101210
001076,AARON'S INC,002535300,0000706688,P,01,LC,10517,5674,20101201,E
001076,AARON'S INC,002535300,0000706688,P,01,LC,10517,5674,19821104,19921231
001076,AARON'S INC,002535300,0000706688,J,01,LC,10517,5674,19930101,20101130
001076,AARON'S INC,002535300,0000706688,N,02,LC,78049,5674,19921103,19921231
001077,AARONSON BROTHERS STORES CP,002536100,,C,00X,LU,10525,346,19730701,19790130
001077,AARONSON BROTHERS STORES CP,002536100,,P,01,LU,10525,346,19790131,19800930
001078,ABBOTT LABORATORIES,002824100,0000001800,C,00X,LC,20482,20017,19500101,19620130
001078,ABBOTT LABORATORIES,002824100,0000001800,P,01,LC,20482,20017,19620131,E
001079,ARP CORP,002904100,0000007522,C,00X,LC,10541,349,19610101,19690130
001079,ARP CORP,002904100,0000007522,P,01,LC,10541,349,19690131,19760930
001080,ABERDEEN PETROLEUM CORP-CL A,003230109,,C,00X,LU,28660,23561,19621001,19631230
001080,ABERDEEN PETROLEUM CORP-CL A,003230109,,P,01,LU,28660,23561,19631231,19760430
001081,ABITIBI CONSOLIDATED INC,003924107,0001039778,P,01,LC,10560,20019,19870716,20071026
001082,SERVIDYNE INC,81765M106,0000001923,P,01,LC,10568,5580,19820629,20110831
001083,ACA JOE INC,003870300,0000098707,C,01,LC,44231,4531,19810831,19880406
001083,ACA JOE INC,003870300,0000098707,C,01,LC,44231,4531,19771230,19800131
001086,AMETECH INC,031095102,0000001969,C,01,LU,76876,10835,19910628,19940223
001087,ACADIA PETROLEUM CORP,004220109,0000320029,P,01,LU,10584,30,19810303,19831130
001088,ACAPULCO RESTAURANTS,004295101,0000215005,P,01,LC,10592,149,19780921,19860205
001089,ACCELERATORS INC,004302105,,P,01,LC,10613,22208,19721214,19791130
001091,ACCO WORLD CORP,004330106,,P,01,LU,64688,5803,19830211,19870731
001092,ACCU TEST SYSTEMS INC,004377107,,P,01,LU,10621,34,19810813,19830429
001093,ACCURAY CORP,004396107,0000050346,P,01,LC,10640,50,19721214,19870331
001094,ACETO CORP,004446100,0000002034,P,01,LC,10656,37,19721214,E
001095,ACKERLEY GROUP INC,004527107,0000319120,P,01,LC,10123,9754,19890907,20020614
001097,ACMAT CORP  -CL A,004616207,0000002062,N,01,LC,10664,47,19941001,19950901
001097,ACMAT CORP  -CL A,004616207,0000002062,P,01,LC,10664,47,19721214,19940930
001097,ACMAT CORP  -CL A,004616207,0000002062,P,02,LC,11647,47,19941001,20041203
001097,ACMAT CORP  -CL A,004616207,0000002062,J,02,LC,11647,47,19870930,19940930
001098,ACME-CLEVELAND CORP,004626107,0000869676,C,01,LC,10057,20020,19680101,19960702
001099,ACME ELECTRIC CORP,004644100,0000002070,P,01,LC,63837,156,19721214,20001130
001100,ACME GENERAL CORP,004671103,0000002075,P,01,LC,10672,46,19721214,19850628
001101,ACME-HAMILTON MFG CORP,004680104,,P,01,LU,28679,23562,19730131,19780131
001103,ACME PRECISION PRODUCTS INC,004770103,,C,01,LU,28695,23564,19660131,19880713
001104,ACME UNITED CORP,004816104,0000002098,P,01,LU,60038,370,19721214,E
001106,ACRO ENERGY CORP,004898102,0000079397,C,01,LU,10699,5193,19820128,19861031
001108,PRINCETON HOLDINGS INC,741885107,,C,01,LC,51510,20021,19701111,19961018
001109,COREWAFER INDUSTRIES INC,022167100,0000747435,C,01,LC,85084,7338,19841212,19851226
001109,COREWAFER INDUSTRIES INC,022167100,0000747435,C,01,LC,85084,7338,19860922,20090424
001111,ACTIVISION INC,004930202,,C,00X,LC,10701,6060,19830609,19850530
001111,ACTIVISION INC,004930202,,C,02,LC,79678,12499,19931022,20080709
001111,ACTIVISION INC,004930202,,C,02,LC,10701,6060,19850531,19910328
001112,ACTMEDIA INC,005049101,0000730066,P,01,LU,10720,6611,19831122,19890731
001113,ACTON CORP  -OLD,00599Y300,,C,01,LC,43967,20022,19661122,19880429
001114,ACUSHNET CO,005086103,0000002166,P,01,LC,10728,53,19721214,19760528
001115,ADAC LABORATORIES,005313200,0000313798,P,01,LU,10752,58,19791205,20001229
001117,BK TECHNOLOGIES,09180A100,0000002186,P,02,LC,10779,65,20051014,E
001117,BK TECHNOLOGIES,09180A100,0000002186,P,02,LC,10779,65,19781003,20030507
001118,ADAMS DRUG INC,006203103,,P,01,LU,57306,25563,19721220,19841130
001119,ADAMS DIVERSIFIED EQUITY FD,006212104,0000002230,P,01,LU,10065,20023,19820129,E
001119,ADAMS DIVERSIFIED EQUITY FD,006212104,0000002230,C,00X,LU,10065,20023,19820101,19820128
001120,ADAMS-MILLIS CORP,006284103,,C,00X,LU,17224,22757,19500101,19620130
001120,ADAMS-MILLIS CORP,006284103,,P,01,LU,17224,22757,19620131,19881031
001121,ADAMS RESOURCES & ENERGY INC,006351308,0000002178,P,01,LU,61487,59,19750207,E
001122,ADAMS RUSSELL,006356109,,P,01,LC,47650,24955,19690205,19871231
001123,ADCOR ELECTRONICS INC,006511109,0000742808,C,01,LU,85105,7521,19850429,19861219
001124,ADDISON-WESLEY PUB  -CL B,006680201,,P,01,LU,10787,73,19721214,19880324
001125,ADDITIVE TECHNOLOGY CORP,006688105,0000730347,P,01,LU,10795,7002,19840426,19850830
001126,ADDMASTER CORP,006698203,0000002308,C,00X,LU,10808,62,19730601,19780130
001126,ADDMASTER CORP,006698203,0000002308,C,01,LU,10808,62,19780131,19900619
001128,ADIA SERVICES INC,006874101,0000752200,P,01,LU,85113,7245,19841002,19950131
001129,ADVANCED FUEL SYSTEMS INC,006901102,0000355565,P,01,LU,10816,5232,19811210,19830831
001130,ADVANCED LOGIC SYSTEMS INC,006902100,0000714420,C,01,LU,10824,7087,19840615,19870610
001131,ADLEY CORP,007086101,0000002369,P,01,LU,10832,22229,19721214,19730731
001133,ADMIRAL CORP,007158108,0000002387,C,00X,LU,22488,23147,19500101,19620130
001133,ADMIRAL CORP,007158108,0000002387,P,01,LU,22488,23147,19620131,19740430
001134,ADOBE BUILDING CENTERS INC,007235104,0000002408,P,01,LU,10859,60,19780131,19781031
001135,ADOBE OIL & GAS CORP,007239106,0001076034,P,01,LU,57461,25571,19731126,19851129
001137,ADVANCE CIRCUITS INC,007383102,,P,01,LU,10867,76,19801205,19951031
001138,ADVANCE ROSS CORP,00750D103,0000002457,P,01,LU,10875,347,19721214,19960131
001139,ADVANCED CHEMICAL TECHNOLOGY,007509102,0000002463,P,01,LU,10891,54,19780131,19810831
001139,ADVANCED CHEMICAL TECHNOLOGY,007509102,0000002463,C,00X,LU,10891,54,19730201,19780130
001140,ADVANCED COMMUNICATIONS INC,007510100,0000724899,C,01,LU,10904,6815,19840126,19861027
001141,ADVANCED COMPUTER TECHNIQUES,007518103,0000002467,C,00X,LU,10912,55,19730401,19780130
001141,ADVANCED COMPUTER TECHNIQUES,007518103,0000002467,C,01,LU,10912,55,19780131,19910703
001142,ADVANCED ENERGY CORP,00753L102,0000320179,P,01,LU,46624,2454,19820129,19860930
001143,ADVANCED ENERGY RESOURCES,00753M100,0000740966,P,01,LU,78523,27331,19840510,19850329
001145,ADVANCED SYSTEMS INC,007547102,,C,00X,LU,65840,78,19761101,19800730
001145,ADVANCED SYSTEMS INC,007547102,,P,01,LU,65840,78,19800731,19871231
001146,ADVENT CORP,007551104,0000002506,P,01,LU,10971,77,19721214,19810414
001147,ADVERTISING UNLIMITED INC,007557101,0000002517,P,01,LU,10990,410,19790131,19871023
001148,ADVEST GROUP INC,007566102,0000319489,P,01,LU,64514,420,19801121,20010228
001150,AEGIS CORP,007603103,0000002552,P,01,LU,28716,23566,19660429,19841130
001151,AEQUITRON MEDICAL INC,007631104,0000736970,P,01,LU,10998,6943,19840322,19961231
001153,AERO-FLOW DYNAMICS INC,007680101,,P,01,LU,28724,23567,19620702,19830131
001154,AERO SYSTEMS ENGINEERING INC,007692106,0000002589,P,01,LU,85164,7538,19850510,20031223
001155,AERO SYSTEMS INC,007698103,0000002590,C,01,LU,11010,87,19750630,19930730
001156,AERODEX INC,007752108,0000002597,P,01,LU,46973,24915,19681017,19750630
001157,AEROJET GENERAL CORP,007788102,0000002602,P,01,LU,28732,23568,19620702,19721031
001159,AERONCA INC,007842107,0000002611,P,01,LU,28740,23569,19660131,19860905
001161,ADVANCED MICRO DEVICES,007903107,0000002488,P,01,LU,61241,211,19721214,E
001162,ADVENTURE LANDS OF AMERICA,007905102,,P,01,LU,11026,68,19781006,19851129
001163,ADVANCED MONITORING SYS INC,007910102,0000315698,C,01,LU,11034,245,19820129,19880321
001164,MCI INC,552691107,0000723527,P,10,LC,90284,45424,20040714,20060106
001164,MCI INC,552691107,0000723527,P,01,LC,11042,61,19860822,20020729
001164,MCI INC,552691107,0000723527,P,01,LC,11042,61,19801124,19860728
001165,B-FAST CORP,055413108,0000350200,C,01,LC,11069,85,19810414,19880427
001166,ASM INTERNATIONAL NV,N07045102,0000351483,P,90,LC,11077,374,19810512,20150820
001167,ADVANT CORP,007915101,0000355004,P,01,LU,11085,5260,19820104,19821029
001169,ADV GENETIC SCIENCES,007920101,,P,01,LC,11114,6414,19830922,19881122
001170,ADVANCED TELECOMMUN-OLD,00799Y100,,P,01,LC,11149,6737,19840131,19850730
001171,ADVANCED TELECOMMUNICATIONS,007923105,0000729647,P,01,LC,11149,6737,19850731,19921204
001172,ADV PROFESSIONAL SALES-OLD,007926108,,C,01,LU,15916,321,19830624,19861231
001173,AEROSONIC CORP,008015307,0000109471,C,00X,LU,11157,376,19730201,19750227
001173,AEROSONIC CORP,008015307,0000109471,C,01,LU,11157,376,19750228,20130628
001174,AEROTRON INC,008050106,,C,01,LC,11165,22254,19721214,19791231
001175,AEROVOX CORP,008086100,0000002636,P,01,LU,44396,24752,19670503,19730531
001177,AETNA INC,00817Y108,0001122304,P,01,LC,88845,41072,20001214,20181130
001177,AETNA INC,00817Y108,0001122304,P,01,LC,46850,20026,19680924,20001213
001178,AFFILIATED BANKSHARES COLO,008182107,0000002682,P,01,LU,11173,94,19740131,19921130
001178,AFFILIATED BANKSHARES COLO,008182107,0000002682,C,00X,LU,11173,94,19740101,19740130
001179,AFFILIATED CAPITAL CORP,008185100,0000002684,C,00X,LU,52310,25242,19740101,19780130
001179,AFFILIATED CAPITAL CORP,008185100,0000002684,P,01,LU,52310,25242,19780131,19820129
001180,AFFILIATED HOSPITAL PRODS,008230104,,P,01,LU,50569,25134,19700514,19850221
001181,AFFILIATED PUBNS,008262107,0000849696,P,01,LC,75618,22086,19890608,19931001
001181,AFFILIATED PUBNS,008262107,0000849696,P,01,LC,57349,25566,19730809,19890531
001182,AFTER SIX INC,008315103,0000002741,P,01,LU,57613,25577,19721214,19840928
001183,IDNA INC,45169P106,0001004981,P,01,LC,11181,6059,19830608,19980309
001184,AGGIE OIL CO,008458101,0000353335,P,01,LC,11200,114,19810911,19840126
001186,AGNICO EAGLE MINES LTD,008474108,0000002809,P,01,LC,78223,26174,19821101,E
001188,AGOIL INC-OLD,008484107,,P,01,LU,11229,10132,19810406,19830531
001192,AGUIRRE CO,008644106,0000002850,P,01,LU,17232,22758,19620131,19781208
001192,AGUIRRE CO,008644106,0000002850,C,00X,LU,17232,22758,19490801,19620130
001194,AHMANSON (H F) & CO,008677106,0000771667,P,01,LU,56266,20028,19721214,19981030
001195,AID AUTO STORES INC  -OLD,008708208,,P,01,LU,11253,9,19780131,19850628
001195,AID AUTO STORES INC  -OLD,008708208,,C,00X,LU,11253,9,19740101,19780130
001196,AIKEN INDUSTRIES INC,008788101,0000002899,P,01,LU,44820,24779,19680131,19760930
001197,AILEEN INC,008878100,0000002904,C,01,LU,39116,20029,19630423,19950714
001199,AGRICULTURAL & INDL DEV INC,008900102,,C,01,LU,11280,135,19790511,19800811
001200,AIR CALIFORNIA,009086109,0000002926,P,01,LC,11288,31,19721214,19730531
001201,AIR CARGO EQUIPMENT CORP,009095100,0000002929,P,01,LU,11296,330,19790131,19881230
001202,AIR CHAPARRAL INC,009100108,0000352059,P,01,LC,11309,39,19810709,19830824
001203,AIR EXPRESS INTERNATIONAL CP,009104100,0000700674,C,01,LU,61081,143,19730131,20000229
001204,AIR FLORIDA SYSTEM INC,009114109,,C,01,LU,11317,144,19790131,19840816
001204,AIR FLORIDA SYSTEM INC,009114109,,C,00X,LU,11317,144,19730801,19790130
001206,AIR INDS CORP,009122102,,P,01,LC,11325,22268,19721214,19731231
001208,AIR MIDWEST INC,009135104,0000310454,P,01,LU,11341,5678,19821105,19910731
001209,AIR PRODUCTS & CHEMICALS INC,009158106,0000002969,P,01,LC,28222,20030,19620131,E
001210,AIR T INC,009207101,0000353184,C,01,LU,11368,6977,19840423,E
001211,AIR WEST INC,009230103,,C,00X,LC,43756,24706,19660906,19681231
001212,AIR WISCONSIN SERVICES INC,009236100,0000717324,P,01,LU,11376,359,19790131,19920131
001213,AIRBORNE INC,009269101,0000003000,P,01,LU,51721,20031,19710105,20030815
001214,ACI HOLDING INC,000865105,0000793154,P,01,LU,67125,6325,19830825,19870430
001215,AIRCO INC,009292103,0000003010,P,01,LU,10102,22164,19620131,19780428
001215,AIRCO INC,009292103,0000003010,C,00X,LU,10102,22164,19500101,19620130
001217,AIRLIFT INTERNATIONAL INC,009374109,0000003042,C,00X,LU,46244,161,19730701,19780629
001217,AIRLIFT INTERNATIONAL INC,009374109,0000003042,C,01,LU,46244,161,19780630,19801103
001218,AIRPAX ELECTRONICS INC,009446105,0000003050,P,01,LU,44775,24775,19670803,19760430
001219,AIRWICK INDUSTRIES INC,009536301,0000003086,P,01,LC,47378,24936,19681219,19740531
001220,AJAX MAGNETHERMIC CORP,009644105,0000003094,P,01,LC,41793,24562,19650407,19750731
001221,AKZONA,010202109,,P,01,LU,25662,23350,19620131,19820831
001222,ALA MOANA HAWAII PROPERTIES,010207108,0000353502,C,00X,LC,63415,25710,19820101,19820128
001222,ALA MOANA HAWAII PROPERTIES,010207108,0000353502,P,01,LC,63415,25710,19820129,19880422
001226,ALAMCO INC,010742203,0000355115,P,02,LU,64848,5335,19820324,19970829
001227,ALAMITO CO,011240108,,P,01,LU,67133,25779,19850107,19860530
001228,ALANCO TECHNOLOGIES INC,011612702,0000098618,C,02,LC,11456,5348,19820514,19860122
001228,ALANCO TECHNOLOGIES INC,011612702,0000098618,C,02,LC,11456,5348,19880823,19900201
001228,ALANCO TECHNOLOGIES INC,011612702,0000098618,C,02,LC,11456,5348,19900423,20110725
001229,ALANTHUS CORP,011634102,0000003193,P,01,LU,11472,183,19721214,19780731
001230,ALASKA AIR GROUP INC,011659109,0000766421,P,01,LU,28804,20035,19660131,E
001232,ALASKA INTL INDUSTRIES INC,011723103,0000003241,P,01,LU,11520,167,19741105,19790831
001233,ALASKA NORTHWEST PROPERTIES,011750205,0000313809,C,01,LU,11536,285,19800530,19870618
001234,ATRION CORP,049904105,0000701288,P,01,LU,11587,392,19721214,E
001235,ALBA-WALDENSIAN INC,012041109,0000003292,P,01,LU,49584,20036,19691125,19991231
001236,ALBANY INTL CORP  -OLD,012347100,,P,01,LU,57998,132,19721214,19830729
001238,ALBERTA ENERGY CO LTD,012873105,0000927600,P,01,LC,82233,27934,19950921,20020405
001239,ALBERTO-CULVER CO,013078100,0001368457,P,01,LC,42083,8127,19650611,20110510
001239,ALBERTO-CULVER CO,013078100,0001368457,J,02,LC,69163,8127,19860423,20031105
001240,ALBERTSON'S INC,013104104,0000003333,P,01,LU,50032,20038,19700210,20060630
001241,ALBION INTL RESOURCES INC,013325105,,P,01,LU,11608,7161,19840801,19890630
001242,ALBUQUERQUE WESTN SOLAR INDS,013655204,,P,01,LC,11616,186,19790131,19800627
001243,ALCAN INC,013716105,0000004285,P,01,LC,24264,20039,19620131,20071114
001243,ALCAN INC,013716105,0000004285,C,00X,LC,24264,20039,19500531,19620130
001244,ALCIDE CORP,013742507,0000708484,P,01,LC,11624,5686,19830526,20040730
001245,AMERISOURCE CORP,03071N008,0001476003,P,02,LC,85244,7691,19850815,19891031
001246,IKON OFFICE SOLUTIONS,451713101,0000003370,P,01,LU,48514,20040,19690616,20081031
001247,ALCOLAC INC,013880109,0000003379,P,01,LU,56282,25506,19721214,19810331
001248,ALCON LABORATORIES INC,013896105,0000003382,P,01,LU,53321,25311,19711004,19780131
001249,ALDEBARAN DRILLING CO INC,013900204,0000351537,P,01,LU,11659,154,19810908,19850531
001250,ALDEN ELECTRONICS INC,014086102,0000003398,C,01,LC,85252,7371,19850107,19970113
001251,ALDON INDUSTRIES INC,014419105,0000003417,C,00X,LU,48733,174,19740101,19780130
001251,ALDON INDUSTRIES INC,014419105,0000003417,P,01,LU,48733,174,19780131,19810227
001252,ALDRICH CHEMICAL INC,014428106,,P,01,LU,11683,155,19721214,19750731
001253,ALEXANDER & ALEXANDER,014476105,0000003449,P,01,LU,63845,4,19721214,19970228
001254,MATSON INC,57686G105,0000003453,P,01,LU,11691,157,19721214,E
001255,ALEXANDER ENERGY CORP,014617203,0000355143,P,02,LC,11704,5198,19811119,19960829
001257,ALEXANDER'S INC,014752109,0000003499,P,01,LU,49330,20041,19691007,E
001258,CAPCO ENERGY INC,13916P209,0000354767,C,01,LC,11712,5261,19820217,19821130
001259,TAMIR BIOTHECHNOLOGY INC,87509Q105,0000708717,C,01,LC,11739,35,20040909,20090105
001259,TAMIR BIOTHECHNOLOGY INC,87509Q105,0000708717,C,01,LC,11739,35,19961205,19990427
001259,TAMIR BIOTHECHNOLOGY INC,87509Q105,0000708717,C,01,LC,11739,35,19840131,19861104
001260,ADRIEN ARPEL INC,007361108,0000724989,P,01,LU,69171,6397,19830920,19981231
001261,ALGERAN INC,015599103,,P,01,LU,11755,165,19790926,19840430
001263,ESSAR STEEL ALGOMA INC,29666M006,0001616896,P,01,LC,81765,28041,19950714,20001130
001264,ALGOREX CORP,015867104,0000003535,C,00X,LU,11763,164,19730701,19790130
001264,ALGOREX CORP,015867104,0000003535,C,01,LU,11763,164,19790131,19920311
001266,ALICO INC,016230104,0000003545,P,01,LU,11790,153,19721214,E
001268,ALL AMERICAN BURGER INC,016476103,,P,01,LU,11798,4366,19790618,19811130
001269,ALL AMERICAN GOURMET CO,016505109,0000774380,P,01,LU,85279,7740,19850918,19870731
001270,ALL AMERICAN INDUSTRIES INC,016509101,0000225014,P,01,LU,28820,6,19780731,19820430
001270,ALL AMERICAN INDUSTRIES INC,016509101,0000225014,C,00X,LU,28820,6,19730101,19780730
001271,ALL SEASONS RESORTS INC,016634107,0000739624,C,01,LU,11827,6916,19840313,19900430
001274,ALLEGHANY CORP,017175100,0000775368,P,01,LC,71271,20043,19870130,E
001274,ALLEGHANY CORP,017175100,0000775368,C,00X,LC,17400,22775,19740101,19740130
001274,ALLEGHANY CORP,017175100,0000775368,P,01,LC,17400,22775,19740131,19861223
001275,ALLEGHENY & WESTERN ENER-OLD,01799Y108,,P,01,LC,11835,163,19820129,19850130
001277,ALLECO INC,016783938,0000003656,P,02,LC,11843,17,19721214,19881018
001278,SUNBEAM CORPORATION,867071102,0000003662,C,00X,LC,18817,20044,19500101,19620130
001278,SUNBEAM CORPORATION,867071102,0000003662,C,01,LC,77829,29239,19920819,20010205
001278,SUNBEAM CORPORATION,867071102,0000003662,C,01,LC,18817,20044,19620131,19900928
001279,ALLEGHENY ENERGY INC,017361106,0000003673,P,01,LU,10137,20045,19620131,20110228
001279,ALLEGHENY ENERGY INC,017361106,0000003673,C,00X,LU,10137,20045,19510101,19620130
001281,ALLEN TELECOM INC,018091108,0000003721,C,01,LU,44740,20046,19670727,20030731
001283,ALLEN ORGAN CO  -CL B,017753104,0000003753,P,01,LU,11851,293,19721214,20050511
001284,ALLERGAN PHARMACEUTICALS INC,018492108,0000215038,P,01,LU,59635,305,19721214,19800331
001285,ALLIANCE TIRE &RUBBER  -CL A,018789107,,C,01,LU,28855,23581,19620702,19880531
001286,ALLIANCE NORTHWEST INDS INC,018716100,0000745452,C,01,LU,85295,7242,19841001,19920630
001288,ALLIED ARTISTS INDUSTRIES,018859108,,P,01,LU,58747,25614,19760120,19790323
001289,ALLIED ARTISTS PICTURES CORP,018861104,0000003827,P,01,LC,28863,23582,19650129,19751231
001290,ALLIED BANCSHARES INC-TX,018870105,,C,00X,LC,11870,151,19740101,19740130
001290,ALLIED BANCSHARES INC-TX,018870105,,P,01,LC,11870,151,19740131,19880129
001291,ALLIED CONTROL INC,019105105,,P,01,LU,28871,23583,19620702,19740531
